true_class,cluster_full_ward,aligned_class_full_ward,cluster_full_complete,aligned_class_full_complete,cluster_full_average,aligned_class_full_average,cluster_full_single,aligned_class_full_single,cluster_pca_ward,aligned_class_pca_ward,cluster_pca_complete,aligned_class_pca_complete,cluster_pca_average,aligned_class_pca_average,cluster_pca_single,aligned_class_pca_single
2,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,1,1,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,1,2,1,2,0,0,0,2,0,2,0,2,0,0
2,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0
2,0,2,1,2,1,2,0,0,0,2,0,2,0,2,0,0
2,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0
2,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0
2,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,1,1,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,2,0,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0
2,0,2,1,2,1,2,0,0,0,2,0,2,0,2,0,0
2,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0
2,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,0
